"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MECOM",8.11929168326378e-260,0.514895503806497,0.883,0.786,1.62385833665276e-256,"0","MECOM"
"LGR5",3.89974608594636e-259,0.301155069771263,0.847,0.808,7.79949217189271e-256,"0","LGR5"
"AC109466.1",1.36309443945788e-250,0.39135757422868,0.964,0.923,2.72618887891576e-247,"0","AC109466.1"
"EDA",7.0188546124177e-246,0.485643971840838,0.833,0.734,1.40377092248354e-242,"0","EDA"
"KIF23",8.13931018216939e-245,0.265468925155043,0.864,0.775,1.62786203643388e-241,"0","KIF23"
"LRIG1",3.57183866936367e-243,0.486025974087527,0.979,0.967,7.14367733872734e-240,"0","LRIG1"
"OXR1",7.67549434893116e-220,0.374669519352832,0.9,0.81,1.53509886978623e-216,"0","OXR1"
"AC019068.1",2.3444115176642e-218,0.403089708617857,0.857,0.798,4.68882303532839e-215,"0","AC019068.1"
"GMDS",5.97402424523083e-218,0.390672165865329,0.833,0.693,1.19480484904617e-214,"0","GMDS"
"ALK",7.52938008885848e-214,0.509672635394131,0.789,0.676,1.5058760177717e-210,"0","ALK"
"ANOS1",5.75973862187583e-210,0.348702760843316,0.899,0.788,1.15194772437517e-206,"0","ANOS1"
"LTBP1",1.85008530277064e-206,0.352501328659684,0.958,0.894,3.70017060554127e-203,"0","LTBP1"
"PRKCA",3.61511438890054e-206,0.401398536379837,0.889,0.778,7.23022877780108e-203,"0","PRKCA"
"KITLG",5.4645121324023e-203,0.27157652354664,0.884,0.829,1.09290242648046e-199,"0","KITLG"
"ZDHHC14",7.00172804338317e-203,0.39674616164414,0.797,0.675,1.40034560867663e-199,"0","ZDHHC14"
"RIMS2",9.50840405424253e-197,0.336851045944413,0.958,0.86,1.90168081084851e-193,"0","RIMS2"
"SLC25A21",1.46401937911502e-196,0.466397077480467,0.826,0.715,2.92803875823005e-193,"0","SLC25A21"
"PDE1A",3.47885814561481e-195,0.345806067981996,0.999,0.988,6.95771629122963e-192,"0","PDE1A"
"LIMCH1",3.05747599311429e-193,0.378518472297261,0.918,0.837,6.11495198622858e-190,"0","LIMCH1"
"PLD5",1.21317486976917e-192,0.364254162815571,0.77,0.708,2.42634973953834e-189,"0","PLD5"
"FGF13",1.01635790921696e-183,0.317863152850235,0.999,0.98,2.03271581843392e-180,"0","FGF13"
"FBN2",5.43265237131305e-183,0.292795815868583,0.982,0.953,1.08653047426261e-179,"0","FBN2"
"BMPR1B",1.52470262201214e-182,0.322559835076234,0.964,0.908,3.04940524402427e-179,"0","BMPR1B"
"MBNL3",9.36512531097132e-180,0.443619295091718,0.738,0.645,1.87302506219426e-176,"0","MBNL3"
"LINC01572",1.06904577551068e-171,0.326225308507374,0.967,0.939,2.13809155102135e-168,"0","LINC01572"
"DDAH1",1.36591357454878e-166,0.334778373341941,0.839,0.716,2.73182714909755e-163,"0","DDAH1"
"PRELID2",4.01678047491605e-166,0.316874222247972,0.884,0.788,8.0335609498321e-163,"0","PRELID2"
"HS6ST3",3.42767885800305e-161,0.483393809964058,0.759,0.666,6.85535771600609e-158,"0","HS6ST3"
"DLGAP1",8.84531936737638e-161,0.303740605630929,0.984,0.945,1.76906387347528e-157,"0","DLGAP1"
"SLCO3A1",2.01238410041919e-160,0.291683129588745,0.885,0.754,4.02476820083838e-157,"0","SLCO3A1"
"DPP10",4.18172207557485e-159,0.317952034323993,0.891,0.787,8.36344415114969e-156,"0","DPP10"
"IMMP2L",4.65173430688297e-154,0.42207378944082,0.952,0.878,9.30346861376594e-151,"0","IMMP2L"
"CAMK4",7.88152939240859e-150,0.4188142285834,0.827,0.783,1.57630587848172e-146,"0","CAMK4"
"BCL2",3.02566529238538e-131,0.275318141314698,0.916,0.845,6.05133058477076e-128,"0","BCL2"
"PRKCE",6.81624671550495e-131,0.315944765515246,0.952,0.913,1.36324934310099e-127,"0","PRKCE"
"SLC4A4",3.20701753519441e-125,0.344982674719014,0.576,0.44,6.41403507038883e-122,"0","SLC4A4"
"NEXMIF",5.68030022014954e-124,0.319489207694721,0.724,0.601,1.13606004402991e-120,"0","NEXMIF"
"TLN2",1.0821504916272e-119,0.259593621554601,0.852,0.766,2.1643009832544e-116,"0","TLN2"
"MAST4",4.33218791434159e-114,0.279323049670231,0.835,0.718,8.66437582868317e-111,"0","MAST4"
"NKAIN3",4.54267119224264e-113,0.262766832611456,0.92,0.844,9.08534238448527e-110,"0","NKAIN3"
"NXPH2",3.15589480250241e-105,0.409116702537742,0.599,0.524,6.31178960500482e-102,"0","NXPH2"
"SLC2A13",1.12907764903586e-104,0.257403392219639,0.873,0.792,2.25815529807171e-101,"0","SLC2A13"
"STXBP6",5.63107907502969e-103,0.345073669335889,0.585,0.47,1.12621581500594e-99,"0","STXBP6"
"GABRG3",8.13716670977009e-98,0.291396399704645,0.716,0.629,1.62743334195402e-94,"0","GABRG3"
"AC073529.1",5.53186548334924e-77,0.264203957781803,0.81,0.752,1.10637309666985e-73,"0","AC073529.1"
"HS6ST2",1.61419641463782e-69,0.25031337131798,0.815,0.759,3.22839282927565e-66,"0","HS6ST2"
"LINC01515",7.19187453575835e-60,0.268354613665246,0.792,0.79,1.43837490715167e-56,"0","LINC01515"
"CALN1",8.59989233565395e-45,0.260031493080557,0.618,0.577,1.71997846713079e-41,"0","CALN1"
"AL157778.1",4.6830941793042e-25,0.302759225080202,0.719,0.696,9.36618835860841e-22,"0","AL157778.1"
"PAX3",0,0.868999782932513,0.986,0.968,0,"1","PAX3"
"SMOC1",0,0.775376718307532,0.918,0.89,0,"1","SMOC1"
"GLI31",0,0.756035050201408,0.996,0.985,0,"1","GLI3"
"PAX7",9.70388002234162e-297,0.547225640720959,0.85,0.811,1.94077600446832e-293,"1","PAX7"
"VCAN",8.7602962103245e-209,0.262660968179201,0.983,0.953,1.7520592420649e-205,"1","VCAN"
"MEGF10",2.12904185283077e-202,0.630710251176391,0.938,0.918,4.25808370566153e-199,"1","MEGF10"
"BMPR1B1",4.11637171063623e-185,0.56646927140262,0.949,0.914,8.23274342127245e-182,"1","BMPR1B"
"FAM19A4",1.20626567143173e-169,0.444325179222557,0.86,0.839,2.41253134286346e-166,"1","FAM19A4"
"NTRK2",2.28095603983263e-160,0.596184143287629,0.932,0.907,4.56191207966526e-157,"1","NTRK2"
"SOX2-OT",1.00120822241807e-135,0.352809908060682,0.966,0.949,2.00241644483614e-132,"1","SOX2-OT"
"HS3ST3A1",4.38829941919839e-128,0.484394371590661,0.816,0.796,8.77659883839678e-125,"1","HS3ST3A1"
"PDE1A1",4.76946664598841e-122,0.532850649496134,0.996,0.989,9.53893329197683e-119,"1","PDE1A"
"AC109466.11",4.46657071436203e-113,0.480203909235084,0.948,0.928,8.93314142872406e-110,"1","AC109466.1"
"LRP2",4.3619666350854e-102,0.492019136263587,0.91,0.879,8.72393327017079e-99,"1","LRP2"
"AC005165.1",7.90622741930701e-102,0.260801030212028,0.661,0.614,1.5812454838614e-98,"1","AC005165.1"
"AC011287.1",2.3289510630093e-87,0.560909101044907,0.856,0.882,4.65790212601859e-84,"1","AC011287.1"
"EDNRB",3.01298741267443e-78,0.354008043663122,0.807,0.837,6.02597482534885e-75,"1","EDNRB"
"PURPL",4.54280338022918e-72,0.430773357659362,0.98,0.985,9.08560676045836e-69,"1","PURPL"
"LRIG11",1.59157777619512e-71,0.457567176002836,0.944,0.976,3.18315555239024e-68,"1","LRIG1"
"LHFPL6",6.4943127073928e-68,0.361739530816552,0.975,0.971,1.29886254147856e-64,"1","LHFPL6"
"MEIS1",2.89737898409062e-61,0.253405206164732,0.932,0.931,5.79475796818124e-58,"1","MEIS1"
"AC022639.1",2.11995789448761e-60,0.276067527327226,0.989,0.986,4.23991578897522e-57,"1","AC022639.1"
"ANOS11",4.80890728735863e-52,0.332088751125497,0.844,0.806,9.61781457471726e-49,"1","ANOS1"
"LINC02306",1.49654719718826e-51,0.531429816148544,0.831,0.85,2.99309439437652e-48,"1","LINC02306"
"NHSL2",4.62485197612592e-48,0.336872195947576,0.845,0.859,9.24970395225183e-45,"1","NHSL2"
"PVT11",3.61335243160292e-41,0.319734848437173,0.977,0.978,7.22670486320583e-38,"1","PVT1"
"CENPF",9.24607615552133e-39,0.263247656012358,0.96,0.954,1.84921523110427e-35,"1","CENPF"
"CDON",8.24014806476649e-36,0.390031787772573,0.941,0.95,1.6480296129533e-32,"1","CDON"
"LTBP11",2.60816862884566e-31,0.282343168091001,0.92,0.906,5.21633725769132e-28,"1","LTBP1"
"NDNF",1.15641172959955e-30,0.288781926546317,0.803,0.868,2.31282345919911e-27,"1","NDNF"
"GPC4",5.80669852633453e-29,0.354115749639746,0.749,0.753,1.16133970526691e-25,"1","GPC4"
"PLAGL11",8.64635865648489e-27,0.2621843208544,0.913,0.92,1.72927173129698e-23,"1","PLAGL1"
"LIMCH11",1.68793146645605e-26,0.284749697656183,0.861,0.854,3.3758629329121e-23,"1","LIMCH1"
"PCDH17",2.74109121124442e-26,0.287267744168958,0.859,0.867,5.48218242248884e-23,"1","PCDH17"
"SEMA3A",5.77502321518772e-21,0.324276119608289,0.889,0.911,1.15500464303754e-17,"1","SEMA3A"
"FOXO1",9.44480504798599e-15,0.266820315060853,0.754,0.774,1.8889610095972e-11,"1","FOXO1"
"TMEM132B",1.15711427721872e-12,0.266010403508236,0.81,0.818,2.31422855443745e-09,"1","TMEM132B"
"NTNG1",3.36296635909777e-05,0.401367369316431,0.597,0.645,0.0672593271819555,"1","NTNG1"
"AC092957.1",0,2.40298810609667,0.959,0.883,0,"2","AC092957.1"
"TRPM3",0,2.27984850414104,0.958,0.784,0,"2","TRPM3"
"AC105411.1",0,2.0081274779653,0.83,0.708,0,"2","AC105411.1"
"NFIA",0,1.96950029832393,0.961,0.807,0,"2","NFIA"
"TMEM132D",0,1.91314337565584,0.972,0.844,0,"2","TMEM132D"
"SLIT3",0,1.91292191223119,0.935,0.787,0,"2","SLIT3"
"AC016152.1",0,1.90450084873554,0.809,0.686,0,"2","AC016152.1"
"SAMD5",0,1.71741790841301,0.933,0.752,0,"2","SAMD5"
"WLS",0,1.70936463225725,0.995,0.9,0,"2","WLS"
"GLIS3",0,1.69678104392887,0.973,0.875,0,"2","GLIS3"
"RSPO2",0,1.66481562310908,0.83,0.69,0,"2","RSPO2"
"COL4A6",0,1.598221274515,0.912,0.681,0,"2","COL4A6"
"AL033504.1",0,1.56682497744433,0.881,0.676,0,"2","AL033504.1"
"LINC01830",0,1.45698057018011,0.807,0.573,0,"2","LINC01830"
"RMST",0,1.39903584537278,0.997,0.976,0,"2","RMST"
"SOX6",0,1.34638496432537,0.953,0.799,0,"2","SOX6"
"LMX1A",0,1.31231040699484,0.841,0.667,0,"2","LMX1A"
"DMD",0,1.25543336057454,0.957,0.777,0,"2","DMD"
"OTX2-AS1",0,1.25072657610554,0.808,0.597,0,"2","OTX2-AS1"
"RBM47",0,1.24558679633762,0.832,0.684,0,"2","RBM47"
"SLIT2",0,1.19025692799147,0.995,0.943,0,"2","SLIT2"
"COL11A1",0,1.1698408959486,0.94,0.856,0,"2","COL11A1"
"SOX2-OT1",0,1.1465423079013,0.973,0.948,0,"2","SOX2-OT"
"TPM1",0,1.0938557631136,0.895,0.786,0,"2","TPM1"
"EYA4",0,1.02587665226141,0.791,0.53,0,"2","EYA4"
"LINC01239",0,1.02431600107612,0.779,0.546,0,"2","LINC01239"
"COL4A5",0,1.01374214186126,0.975,0.915,0,"2","COL4A5"
"RSPO3",0,1.00567408021993,0.808,0.706,0,"2","RSPO3"
"LINC00472",0,1.00215901115948,0.942,0.834,0,"2","LINC00472"
"TSHZ2",0,0.991811385112386,0.956,0.86,0,"2","TSHZ2"
"NR3C2",0,0.989059933724213,0.717,0.543,0,"2","NR3C2"
"PTPRM",0,0.984650490179509,0.971,0.865,0,"2","PTPRM"
"GJA1",0,0.956907520211947,0.835,0.7,0,"2","GJA1"
"NFIB",0,0.901693476855304,0.855,0.655,0,"2","NFIB"
"PLXDC2",0,0.893654599933589,0.979,0.949,0,"2","PLXDC2"
"PCDH7",0,0.858477929177128,0.884,0.761,0,"2","PCDH7"
"ZIC1",0,0.854349841395086,0.931,0.861,0,"2","ZIC1"
"CDH6",0,0.85104056853371,0.805,0.525,0,"2","CDH6"
"AHNAK",0,0.837312251855029,0.874,0.736,0,"2","AHNAK"
"NEBL",0,0.836599549528713,0.968,0.92,0,"2","NEBL"
